source,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2023/2024
nuclear,134.264,159.578,165.369719,188.604998,173.896933,185.814196,202.272,213.46,223.259,249.256,269.127,291.254,302.201,319.177,332.343,316.616,322.05,319.859,295.095,240.013,282.442,304.755,303.426,263.832,258.128,279.75,288.23,101.761,15.939,9.303,0.0,9.437,18.06,32.912,64.929,63.779,42.999509207,61.222637441,51.774124782,77.460599169,82.72864
hydro,71.617,82.874,80.816,74.787,90.291,91.741,97.033,107.01,90.914,107.052,76.622,92.565,89.433,100.414,102.587,95.577,96.817,93.872,91.801,104.138,103.147,86.35,97.34,84.234,83.504,83.832,90.681,91.709,83.645,84.885,86.942,91.27,85.666,91.06,88.348,88.005,78.33217602,79.626237228,74.86830105346,74.499332095,81.2029932
wind,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.002,0.003,0.002,0.001,0.007,0.038,0.108,0.251,0.414,0.826,1.303,1.751,2.168,2.614,2.942,3.613,4.016,4.676,4.838,5.187,5.217,5.58,6.166,6.49,7.481,7.502,8.4051576560246,9.5362324234909,9.4154975597976,10.008989425162,10.6455038
solar,0.0,0.0,0.0,0.0,0.0,0.0,0.067,0.074,0.081,0.089,0.096,0.106,0.122,0.149,0.189,0.254,0.357,0.547,0.644,0.858,1.118,1.421,1.721,1.972,2.207,2.658,3.543,4.839,6.613,12.879,22.952,34.803,45.761,55.069,62.668,74.114,75.92076601183,84.181715975392,91.070807329843,96.993635244331,97.6363878
geothermal,0.0,0.0,0.0,0.0,0.0,0.0,1.741,1.773,1.787,1.778,2.064,3.173,3.673,3.756,3.531,3.45,3.348,3.431,3.374,3.484,3.374,3.226,3.081,3.044,2.75,2.887,2.632,2.676,2.609,2.603,2.62,2.595,2.501,2.457,2.524,2.816,0.0,0.0,0.0,0.0,3.3730324
biofuels,0.0,0.0,0.0,0.0,0.0,0.0,8.721,8.921,9.081,8.864,9.308,9.718,9.719,10.386,9.726,10.279,9.832,9.386,9.711,10.244,10.667,14.315,14.339,14.896,14.326,13.25,15.174,14.649,15.03,16.296,17.224,18.626,15.058,19.958,21.461,17.564,0.0,0.0,0.0,0.0,41.4735242
coal,90.64,99.334125847173,98.774280288714,107.33318848187,112.19776467508,116.86643369252,122.686,128.962,135.927,144.373,156.928,167.916,177.057,187.782,182.932,201.73,222.608,238.386,257.536,273.977,283.604,292.875,283.396,297.64,293.021,288.059,310.913,297.342,321.07,351.036,352.349,354.054,349.204,351.949,338.794,316.393,316.89186251648,323.43453274271,325.64453737823,304.28423281423,275.4413723
gas,122.956,128.04316221887,130.83553258457,135.03832197774,141.93289001876,149.58808076577,168.449,181.084,180.319,179.895,194.485,198.584,211.933,222.873,231.663,250.685,258.321,258.483,261.288,270.858,258.966,247.712,273.032,297.522,297.448,303.747,325.749,401.013,425.239,428.877,438.036,409.36,417.308,401.166,377.909,338.984,381.32458546135,358.27888047167,351.48752982734,320.85264325334,311.3131666
oil,211.278,183.86023293395,180.84310912671,191.79302354039,213.04885930616,231.79631054171,250.18,236.901,242.167,200.183,238.658,204.131,193.059,167.187,148.71,149.356,134.283,105.843,127.975,133.361,123.419,135.534,112.515,154.358,131.699,87.629,95.921,157.088,188.361,156.811,115.108,97.72,82.5,68.937,51.82,47.99,23.570651660885,29.039283206735,42.474383681312,33.402887369512,22.7849527
unspecified-fossil-fuels,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5536242
other,0.0,5.564,5.9210000000001,6.7360000000001,6.374,6.916,19.524,20.202,19.999,20.164,21.477,22.974,23.525,23.045,19.582,20.245,20.093,20.175,20.227,21.127,20.429,20.904,21.67,21.755,22.246,25.062,34.038,34.98,35.564,36.37,35.618,35.302,39.649,41.203,41.82,42.727,53.210155511764,54.54816364892,55.998830675148,53.711655743098,16.148676
